B1	B2	B3	N_l1	N_l2	N_l3	N_t	C_l1	C_l2	C_l3	C_t	Diff(C_t - N_t)	LessThanZero
1	2	2	125636	153689	18547	1395	126819	148223	8105	4300	2905	no
1	2	4	125486	160202	104402	1592	128028	152217	8439	3830	2238	no
1	2	4	125507	154428	16413	1413	128070	149918	20799	3580	2167	no
1	2	4	125497	157765	104098	1751	128131	152170	39688	3898	2147	no
1	2	4	125525	157914	32926	1479	128073	151404	20195	3323	1844	no
1	2	4	125525	162347	103820	1790	127962	155321	43272	4241	2451	no
1	2	4	125501	159352	31999	1638	127835	153903	20985	3517	1879	no
1	2	4	125548	159927	103787	1632	127691	150748	721	3612	1980	no
1	2	4	125585	157523	20471	1472	127751	150920	11436	3384	1912	no
1	2	4	125538	152107	64778	1874	128077	148714	52582	4280	2406	no
1	2	4	125931	158692	17456	1410	128292	153194	21516	3541	2131	no
1	2	8	126093	162988	102840	1653	125582	149482	15469	2509	856	no
1	2	8	126194	160132	17684	1357	125703	151384	10227	2187	830	no
1	2	8	131097	191355	60521	2183	125717	152456	40899	2664	481	no
1	2	8	125981	162783	17885	1374	125635	151790	7064	2209	835	no
1	2	8	125977	152899	19989	1337	125716	144188	7423	2182	845	no
1	2	8	126046	163874	103073	1642	125530	152069	19682	2561	919	no
1	2	8	126074	161618	18018	1353	125466	150079	7371	2159	806	no
1	2	8	125884	153641	102274	1742	125853	148681	40628	2805	1063	no
1	2	8	125507	155273	15713	1387	125266	151628	6534	2211	824	no
1	2	8	125549	157979	68421	1801	125186	152505	44729	2297	496	no
1	2	16	125510	158137	17578	1418	125191	152943	5170	1811	393	no
1	2	16	125469	156762	16637	1432	125235	152485	6355	1798	366	no
1	2	16	125430	162782	103901	1815	125286	157665	46131	2309	494	no
1	2	16	125482	158181	17503	1388	125333	153097	6203	1787	399	no
1	2	16	125555	156339	104398	1719	125268	148820	794	2077	358	no
1	2	16	125547	158265	17483	1446	125192	154759	6632	1807	361	no
1	2	16	125518	161631	104215	1749	125442	154478	12981	2067	318	no
1	2	16	125614	160408	18355	1524	125176	153964	6914	1796	272	no
1	2	16	125545	160210	104222	1718	125164	152338	3299	2081	363	no
1	2	16	125573	154266	17733	1464	125226	149134	7272	1864	400	no
1	2	32	125460	160081	99213	1826	125296	149765	31340	2091	265	no
1	2	32	125506	160816	17582	1425	125279	151348	5261	1665	240	no
1	2	32	125414	161107	104098	1832	125184	150927	37496	2105	273	no
1	2	32	125539	157056	17705	1384	125150	148001	7495	1721	337	no
1	2	32	125487	157736	104088	1656	125188	146559	14796	1900	244	no
1	2	32	125552	167983	39530	1489	125175	156845	17512	1863	374	no
1	2	32	125529	160823	20981	1663	125309	152494	8186	1900	237	no
1	2	32	125650	155536	15694	1480	125114	145292	5179	1596	116	no
1	2	32	125555	158932	103883	1762	125228	148037	16830	1901	139	no
1	2	32	125587	154601	14835	1393	125224	145987	6072	1665	272	no
1	2	64	125587	160390	105120	6796	125680	157781	48087	6632	-164	yes
1	2	64	126165	172037	104327	1842	130483	180016	28981	1973	131	no
1	2	64	126218	161164	37747	1418	127196	155117	18737	1526	108	no
1	2	64	125535	157717	20492	1550	126956	155972	7319	1601	51	no
1	2	64	125565	154071	15850	1455	125552	152536	6870	1602	147	no
1	2	64	125560	164054	34208	1604	125630	161892	21254	1783	179	no
1	2	64	125498	164619	57015	1629	125653	162053	43689	1815	186	no
1	2	64	125504	154345	20744	1371	125740	151678	6606	1552	181	no
1	2	64	125532	162078	103589	1658	125652	156635	2513	1659	1	no
1	2	64	125588	153214	16855	1402	125630	150310	5703	1569	167	no
1	4	1	125550	156395	104028	1728	128744	140401	47521	6602	4874	no
1	4	1	126166	165422	103357	1787	127847	143347	35676	6660	4873	no
1	4	1	125589	152970	16562	1457	128244	135847	7982	5136	3679	no
1	4	1	125491	159841	42866	1705	128704	143360	35736	6082	4377	no
1	4	1	125618	156951	18228	1447	128345	140959	7875	5139	3692	no
1	4	1	125497	157952	46840	1621	128729	142873	41287	6107	4486	no
1	4	1	125553	159525	16456	1431	128433	143340	15303	5207	3776	no
1	4	1	125584	156286	39999	1695	128530	140785	29432	6079	4384	no
1	4	1	126108	156732	39327	1420	127782	137526	38290	5319	3899	no
1	4	1	125359	155636	104163	1743	128895	140590	65228	6276	4533	no
1	4	2	126187	156785	30760	1400	128283	137652	11432	3806	2406	no
1	4	2	125546	153881	15499	1413	128316	137056	7259	3699	2286	no
1	4	2	125522	161129	104213	1716	128142	140113	1450	4286	2570	no
1	4	2	125530	154346	30559	1509	128211	137409	12252	3682	2173	no
1	4	2	126136	158973	102057	1998	128463	140015	69940	5487	3489	no
1	4	2	125446	158556	104748	1676	127899	143744	82256	4774	3098	no
1	4	2	126185	169281	21504	1659	132012	155172	30755	4340	2681	no
1	4	2	125521	161865	20335	1590	127829	144335	10460	4426	2836	no
1	4	2	125589	158789	17721	1495	128023	140155	10712	3951	2456	no
1	4	2	125450	157187	103981	1667	127932	140626	27372	4506	2839	no
1	4	4	126193	159664	18981	1305	127786	141396	6792	2950	1645	no
1	4	4	125467	165202	43448	1701	128278	149463	29132	3585	1884	no
1	4	4	125566	156647	20144	1451	128244	142027	8907	3061	1610	no
1	4	4	125599	162612	104147	1653	128010	145739	5471	3476	1823	no
1	4	4	126110	162318	28940	1475	128017	142726	24967	3039	1564	no
